shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_30261_0,5.2420331,103.1138894,39
SHP_30261_0,5.2338182,103.1057629,40
SHP_30261_0,5.2326342,103.1041884,41
SHP_30261_0,5.232374,103.102292,42
SHP_30262_0,5.3319649,103.1378691,1
SHP_30262_0,5.3291939,103.1386021,2
SHP_30262_0,5.3288232,103.1398256,3
SHP_30262_0,5.3282373,103.1436998,4
SHP_30262_0,5.3245149,103.1498626,5
SHP_30262_0,5.3198096,103.1532315,6
SHP_30262_0,5.3154778,103.1546125,7
SHP_30262_0,5.3130652,103.1553915,8
SHP_30262_0,5.3109847,103.1564992,9
SHP_30262_0,5.2992948,103.1643887,10
SHP_30262_0,5.2964886,103.1659967,11
SHP_30262_0,5.2919702,103.1679635,12
SHP_30262_0,5.2845933,103.1689349,13
SHP_30262_0,5.2764656,103.1708422,14
SHP_30262_0,5.275945,103.167944,15
SHP_30262_0,5.2723979,103.1656453,16
SHP_30262_0,5.2703545,103.1642987,17
SHP_30262_0,5.2683654,103.1637804,18
SHP_30262_0,5.2622012,103.1647277,19
SHP_30262_0,5.2613008,103.1659401,20
SHP_30262_0,5.2631653,103.1683837,21
SHP_30262_0,5.2647192,103.1681586,22
SHP_30262_0,5.2681048,103.1760341,23
SHP_30262_0,5.2660904,103.1781431,24
SHP_30262_0,5.2428685,103.1879078,26
SHP_30262_0,5.2235404,103.1960048,27
SHP_30262_0,5.2190262,103.1990786,28
SHP_30262_0,5.2167003,103.200831,29
SHP_30262_0,5.2150949,103.2017885,30
SHP_30262_0,5.205463,103.205824,31
SHP_30375_0,5.33155,103.137253,1
SHP_30375_0,5.3291939,103.1386021,2
SHP_30375_0,5.328819,103.139817,3
SHP_30375_0,5.324247,103.141578,4
SHP_30375_0,5.3204606,103.1424886,5
SHP_30375_0,5.316356,103.144844,6
SHP_30375_0,5.316,103.144817,7
SHP_30375_0,5.3141539,103.1426689,8
SHP_30375_0,5.312561,103.136389,9
SHP_30375_0,5.310178,103.130956,10
SHP_30375_0,5.309587,103.129684,11
SHP_30375_0,5.308353,103.127119,12
SHP_30375_0,5.3063564,103.12112,13
SHP_30375_0,5.3075914,103.109764,14
SHP_30375_0,5.308195,103.104385,15
SHP_30375_0,5.3092966,103.09467,16
SHP_30375_0,5.310325,103.0859,17
SHP_30375_0,5.310699,103.084216,18
SHP_30375_0,5.311301,103.082923,19
SHP_30375_0,5.314944,103.08004,20
SHP_30375_0,5.321737,103.081058,21
SHP_30375_0,5.324361,103.082308,22
SHP_30375_0,5.330417,103.085206,23
SHP_30375_0,5.333243,103.086558,24
SHP_30375_0,5.342253,103.09086,25
SHP_30375_0,5.346638,103.09226,26
SHP_30375_0,5.348595,103.09265,27
SHP_30375_0,5.3516955,103.09312,28
SHP_30375_0,5.3552947,103.09517,29
SHP_30375_0,5.358457,103.093736,30
SHP_30375_0,5.3609059,103.0921858,31
SHP_30375_0,5.3619366,103.09172,32
SHP_30375_0,5.3650767,103.0896957,33
SHP_30375_0,5.3679921,103.08775,34
SHP_30375_0,5.3715408,103.0854283,35
SHP_30375_0,5.3757963,103.0841237,36
SHP_30375_0,5.377767,103.085343,37
SHP_30375_0,5.378955,103.087426,38
SHP_30375_0,5.3800116,103.09192,39
SHP_30375_0,5.380827,103.094193,40
SHP_30375_0,5.3816857,103.09625,41
SHP_30375_0,5.383149,103.10052,42
SHP_30375_0,5.385372,103.10013,43
SHP_30375_0,5.390666,103.097242,44
SHP_30375_0,5.3930316,103.09602,45
SHP_30375_0,5.3958335,103.09451,46
SHP_30375_0,5.399194,103.092705,47
SHP_30375_0,5.4031606,103.09036,48
SHP_30375_0,5.407937,103.08494,49
SHP_30375_0,5.4093814,103.08062,50
SHP_30375_0,5.409402,103.08017,51
SHP_30375_0,5.409111,103.081594,52
SHP_30375_0,5.409608,103.07935,53
SHP_30375_0,5.4099865,103.077354,54
SHP_30375_0,5.4127349,103.0685383,55
SHP_30375_0,5.414397,103.06653,56
SHP_30375_0,5.415949,103.065411,57
SHP_30375_0,5.420218,103.062045,58
SHP_30375_0,5.4244691,103.0598691,59
SHP_30375_0,5.425862,103.058722,60
SHP_30375_0,5.4295183,103.0561542,61
SHP_30375_0,5.432419,103.05467,62
SHP_30375_0,5.4361025,103.0526757,63
SHP_30375_0,5.438064,103.05167,64
SHP_30375_0,5.439974,103.050634,65
SHP_30375_0,5.442533,103.049297,66
SHP_30375_0,5.4443735,103.0482584,67
SHP_30375_0,5.446629,103.0466827,68
SHP_30375_0,5.4482691,103.0456496,69
SHP_30375_0,5.449756,103.04537,70
SHP_30375_0,5.450886,103.046194,71
SHP_30376_0,5.33155,103.137253,1
SHP_30376_0,5.3291939,103.1386021,2
SHP_30376_0,5.328819,103.139817,3
SHP_30376_0,5.324247,103.141578,4
SHP_30376_0,5.3204606,103.1424886,5
SHP_30376_0,5.316356,103.144844,6
SHP_30376_0,5.316,103.144817,7
SHP_30376_0,5.3141539,103.1426689,8
SHP_30376_0,5.312561,103.136389,9
SHP_30376_0,5.310178,103.130956,10
SHP_30376_0,5.309587,103.129684,11
SHP_30376_0,5.308353,103.127119,12
SHP_30376_0,5.3063564,103.12112,13
SHP_30376_0,5.3075914,103.109764,14
SHP_30376_0,5.308195,103.104385,15
SHP_30376_0,5.3092966,103.09467,16
SHP_30376_0,5.310325,103.0859,17
SHP_30376_0,5.310128,103.083664,18
SHP_30376_0,5.313975,103.07603,19
SHP_30376_0,5.3168097,103.070496,20
SHP_30376_0,5.318217,103.066055,21
SHP_30376_0,5.321529,103.05398,22
SHP_30376_0,5.324787,103.049736,23
SHP_30376_0,5.3283134,103.05339,24
SHP_30376_0,5.332052,103.05813,25
SHP_30376_0,5.339029,103.063866,26
SHP_30376_0,5.340774,103.06549,27
SHP_30376_0,5.339895,103.07573,28
SHP_30376_0,5.339162,103.07859,29
SHP_30376_0,5.338335,103.08481,30
SHP_30376_0,5.337451,103.08763,31
SHP_30376_0,5.342253,103.09086,32
SHP_30376_0,5.346638,103.09226,33
SHP_30376_0,5.348595,103.09265,34
SHP_30376_0,5.3516955,103.09312,35
SHP_30376_0,5.3552947,103.09517,36
SHP_30376_0,5.358457,103.093736,37
SHP_30376_0,5.3609059,103.0921858,38
SHP_30376_0,5.3619366,103.09172,39
SHP_30376_0,5.3650767,103.0896957,40
SHP_30376_0,5.3679921,103.08775,41
SHP_30376_0,5.3715408,103.0854283,42
SHP_30376_0,5.3757963,103.0841237,43
SHP_30376_0,5.377767,103.085343,44
SHP_30376_0,5.378955,103.087426,45
SHP_30376_0,5.3800116,103.09192,46
SHP_30376_0,5.380827,103.094193,47
SHP_30376_0,5.3816857,103.09625,48
SHP_30376_0,5.383149,103.10052,49
SHP_30376_0,5.385372,103.10013,50
SHP_30376_0,5.390666,103.097242,51
SHP_30376_0,5.3930316,103.09602,52
SHP_30376_0,5.3958335,103.09451,53
SHP_30376_0,5.399194,103.092705,54
SHP_30376_0,5.4031606,103.09036,55
SHP_30376_0,5.407937,103.08494,56
SHP_30376_0,5.4093814,103.08062,57
SHP_30376_0,5.409402,103.08017,58
SHP_30376_0,5.409111,103.081594,59
SHP_30376_0,5.409608,103.07935,60
SHP_30376_0,5.4099865,103.077354,61
SHP_30376_0,5.4127349,103.0685383,62
SHP_30376_0,5.414397,103.06653,63
SHP_30376_0,5.415949,103.065411,64
SHP_30376_0,5.420218,103.062045,65
SHP_30376_0,5.4244691,103.0598691,66
SHP_30376_0,5.425862,103.058722,67
SHP_30376_0,5.4295183,103.0561542,68
SHP_30376_0,5.432419,103.05467,69
SHP_30376_0,5.4361025,103.0526757,70
SHP_30376_0,5.438064,103.05167,71
SHP_30376_0,5.439974,103.050634,72
SHP_30376_0,5.442533,103.049297,73
SHP_30376_0,5.4443735,103.0482584,74
SHP_30376_0,5.446629,103.0466827,75
SHP_30376_0,5.4482691,103.0456496,76
SHP_30376_0,5.449756,103.04537,77
SHP_30376_0,5.450886,103.046194,78
SHP_30377_0,5.33155,103.137253,1
SHP_30377_0,5.3291939,103.1386021,2
SHP_30377_0,5.3288232,103.1398256,3
SHP_30377_0,5.3282373,103.1436998,4
SHP_30377_0,5.327219,103.14745,5
SHP_30377_0,5.3246217,103.149826,6
SHP_30377_0,5.3198096,103.1532315,7
SHP_30377_0,5.318922,103.153372,8
SHP_30377_0,5.3147041,103.1441175,9
SHP_30377_0,5.3141539,103.1426689,10
SHP_30377_0,5.312561,103.136389,11
SHP_30377_0,5.3121054,103.1311467,12
SHP_30377_0,5.309587,103.129684,13
SHP_30377_0,5.308353,103.127119,14
SHP_30377_0,5.30125,103.120739,15
SHP_30377_0,5.299575,103.1198,16
SHP_30377_0,5.295514,103.117458,17
SHP_30377_0,5.291536,103.115169,18
SHP_30377_0,5.288397,103.113239,19
SHP_30377_0,5.286328,103.112081,20
SHP_30377_0,5.270211,103.103011,21
SHP_30377_0,5.2646,103.0999,22
SHP_30377_0,5.258056,103.096219,23
SHP_30377_0,5.245461,103.096503,24
SHP_30377_0,5.235336,103.099839,25
SHP_30377_0,5.232403,103.10225,26
SHP_30377_0,5.230172,103.104311,27
SHP_30377_0,5.227958,103.106089,28
SHP_30377_0,5.223017,103.107289,29
SHP_30377_0,5.218506,103.105961,30
SHP_30377_0,5.212039,103.104003,31
SHP_30377_0,5.208497,103.1034,32
SHP_30377_0,5.203228,103.102619,33
SHP_30377_0,5.193433,103.100711,34
SHP_30377_0,5.189286,103.099261,35
SHP_30377_0,5.187375,103.097969,36
SHP_30377_0,5.184017,103.093439,37
SHP_30377_0,5.179014,103.089361,38
SHP_30377_0,5.174806,103.087667,39
SHP_30377_0,5.156667,103.083689,40
SHP_30377_0,5.149053,103.08465,41
SHP_30377_0,5.149053,103.08465,42
SHP_30377_0,5.141369,103.086189,43
SHP_30377_0,5.134892,103.08665,44
SHP_30377_0,5.132006,103.086131,45
SHP_30377_0,5.128583,103.085631,46
SHP_30377_0,5.105094,103.088869,47
SHP_30377_0,5.100281,103.090003,48
SHP_30377_0,5.096997,103.08945,49
SHP_30377_0,5.092917,103.088639,50
SHP_30377_0,5.083131,103.086831,51
SHP_30377_0,5.081231,103.085144,52
SHP_30377_0,5.078708,103.078925,53
SHP_30377_0,5.07735,103.072914,54
SHP_30377_0,5.075594,103.065475,55
SHP_30377_0,5.072139,103.05205,56
SHP_30377_0,5.072472,103.046036,57
SHP_30377_0,5.072694,103.043061,58
SHP_30377_0,5.072844,103.036289,59
SHP_30377_0,5.073008,103.02845,60
SHP_30377_0,5.072903,103.0247,61
SHP_30377_0,5.073672,103.020011,62
SHP_30377_0,5.073528,103.016044,63
SHP_30377_0,5.073325,103.012606,64
SHP_30377_0,5.070667,103.010956,65
SHP_30378_0,5.33155,103.137253,1
SHP_30378_0,5.325564,103.137481,2
SHP_30378_0,5.323356,103.1321,3
SHP_30378_0,5.314567,103.125144,4
SHP_30378_0,5.314181,103.122406,5
SHP_30378_0,5.315428,103.121681,6
SHP_30378_0,5.317161,103.1162,7
SHP_30378_0,5.318583,103.108667,8
SHP_30378_0,5.31997,103.103164,9
SHP_30378_0,5.322222,103.1167,10
SHP_30378_0,5.321556,103.118331,11
SHP_30378_0,5.320944,103.11925,12
SHP_30378_0,5.320002,103.103019,13
SHP_30378_0,5.319611,103.105139,14
SHP_30378_0,5.318817,103.10865,15
SHP_30378_0,5.310675,103.107611,16
SHP_30378_0,5.303878,103.098661,17
SHP_30378_0,5.298467,103.0959,18
SHP_30378_0,5.294175,103.094361,19
SHP_30378_0,5.292589,103.0977,20
SHP_30378_0,5.278036,103.096,21
SHP_30378_0,5.276444,103.0905,22
SHP_30378_0,5.272989,103.083886,23
SHP_30378_0,5.266119,103.066331,24
SHP_30378_0,5.264639,103.063931,25
SHP_30378_0,5.262056,103.057847,26
SHP_30378_0,5.260914,103.053986,27
SHP_30378_0,5.239028,103.042194,28
SHP_30378_0,5.234111,103.04025,29
SHP_30378_0,5.205861,103.041361,30
SHP_30378_0,5.204578,103.0422,31
SHP_30378_0,5.204453,103.045311,32
SHP_30378_0,5.205056,103.051092,33
SHP_30378_0,5.207972,103.053806,34
SHP_30378_0,5.208908,103.058419,35
SHP_30378_0,5.209011,103.060711,36
SHP_30378_0,5.209108,103.062939,37
SHP_30378_0,5.209758,103.069839,38
SHP_30378_0,5.208431,103.074589,39
SHP_30378_0,5.206447,103.0775,40
SHP_30378_0,5.206242,103.078361,41
SHP_30378_0,5.210764,103.082169,42
SHP_30378_0,5.213992,103.084175,43
SHP_30378_0,5.215883,103.0853,44
SHP_30378_0,5.218097,103.086814,45
SHP_30378_0,5.220717,103.088581,46
SHP_30378_0,5.221836,103.089244,47
SHP_30378_0,5.222969,103.089781,48
SHP_30378_0,5.226533,103.092539,49
SHP_30378_0,5.231386,103.098081,50
